Number,Party,Leader,Seats,Year
1,VVD,Mark Rutte,34,2021
2,PVV (Partij voor de Vrijheid),Geert Wilders,24,2021
3,CDA,Wopke Hoekstra,17,2021
4,D66,Sigrid Kaag,15,2021
5,GROENLINKS,Jesse Klaver,9,2021
6,SP (Socialistische Partij),Lilian Marijnissen,9,2021
7,Partij van de Arbeid (P.v.d.A.),Lilianne Ploumen,8,2021
8,ChristenUnie,Gert-Jan Segers,8,2021
9,Partij voor de Dieren,Esther Ouwehand,6,2021
10,50PLUS,Liane den Haan,5,2021
11,Staatkundig Gereformeerde Partij (SGP),Kees van der Staaij,3,2021
12,DENK,Farid Azarkan,3,2021
13,Forum voor Democratie,Thierry Baudet,3,2021
14,BIJ1,Sylvana Simons,1,2021
15,JA21,Joost Eerdmans,1,2021
16,CODE ORANJE,Richard de Mos,0,2021
17,Volt,Laurens Dassen,0,2021
18,NIDA,Nourdin El Ouali,0,2021
19,Piratenpartij,Matthijs Pontier,0,2021
20,LP (Libertaire Partij),Robert Valentine,0,2021
21,JONG,Jaron Tichelaar,0,2021
22,Splinter,Femke Merel van Kooten-Arissen,0,2021
23,BBB,Caroline van der Plas,0,2021
24,NLBeter,Esther van Fenema,0,2021
25,Lijst Henk Krol,Henk Krol,0,2021
26,OPRECHT,Michael Ruperti,0,2021
27,JEZUS LEEFT,Florens van der Spek,0,2021
28,Trots op Nederland (TROTS),Sander van den Raadt,0,2021
29,U-Buntu Connected Front,Regillio Vaarnold,0,2021
30,blanco lijst,Anna Zeven,0,2021
31,Partij van de Eenheid,Arnoud van Doorn,0,2021
32,De Feestpartij (DFP),Johan Vlemmix,0,2021
33,Vrij en Sociaal Nederland,Bas Filippini,0,2021
34,Wij zijn Nederland,Erwin Versteeg,0,2021
35,Modern Nederland,Niels Heeze,0,2021
36,De Groenen,Otto ter Haar,0,2021
37,Partij voor de Republiek,Bruno Braakhuis,0,2021